,Edad,Genero,Historial_Crediticio,Salario_Anual,Deuda
0,56,M,Regular,61037.0,22443.0
1,69,F,Bueno,31805.0,39725.0
2,46,F,Bueno,63147.0,49212.0
3,32,M,Malo,94280.0,18595.0
4,60,M,Regular,66053.0,9740.0
5,25,F,Bueno,117841.0,12559.0
6,38,F,Malo,111393.0,42741.0
7,56,F,Regular,96215.0,39044.0
8,36,F,Bueno,115365.0,21747.0
9,40,F,Regular,30985.0,40920.0
10,28,F,Regular,113823.0,7973.0
11,28,F,Bueno,32391.0,15333.0
12,41,M,Bueno,24861.0,30129.0
13,53,F,Bueno,83582.0,37.0
14,57,F,Regular,71928.0,38758.0
15,41,M,Regular,54364.0,32311.0
16,20,F,Malo,102399.0,38206.0
17,39,F,Regular,117035.0,48503.0
18,19,M,Bueno,113330.0,28207.0
19,41,F,Regular,62923.0,43624.0
20,61,M,Malo,27919.0,33241.0
21,47,M,Malo,75896.0,58.0
22,55,M,Bueno,105818.0,24841.5
23,19,M,Bueno,67396.0,30635.0
24,38,F,Malo,54840.0,14834.0
25,50,M,Malo,62255.0,15577.0
26,29,M,Malo,91160.0,27190.0
27,39,F,Bueno,119242.0,7296.0
28,61,M,Malo,28176.0,21383.0
29,42,M,Malo,53529.0,45438.0
30,66,M,Bueno,76406.0,24660.0
31,44,M,Regular,32941.0,42493.0
32,59,F,Regular,21669.0,2674.0
33,45,M,Malo,105782.0,48564.0
34,33,F,Regular,64859.0,43833.0
35,32,F,Regular,75786.0,22820.0
36,64,M,Regular,71083.0,19504.0
37,68,M,Regular,60076.0,25666.0
38,61,M,Malo,40323.0,43794.0
39,69,M,Regular,119430.0,2076.0
40,20,F,Regular,26021.0,24841.5
41,54,F,Bueno,59807.0,32406.0
42,68,F,Malo,70355.0,40262.0
43,24,M,Bueno,64732.0,25784.0
44,38,F,Bueno,28711.0,21125.0
45,26,M,Malo,83079.0,23216.0
46,56,M,Regular,27904.0,2581.0
47,35,M,Bueno,69636.5,15600.0
48,21,M,Malo,106478.0,30284.0
49,42,M,Regular,109787.0,20171.0
50,31,F,Malo,75096.0,25091.0
51,67,F,Bueno,110594.0,14333.0
52,26,M,Regular,23093.0,30535.0
53,43,F,Regular,44918.0,23487.0
54,19,M,Malo,92743.0,10404.0
55,37,M,Regular,82636.0,43934.0
56,45,M,Bueno,78806.0,33700.0
57,64,F,Bueno,29394.0,18047.0
58,24,M,Bueno,112510.0,41516.0
59,61,M,Malo,113708.0,15577.0
60,25,F,Regular,117819.0,24298.0
61,64,F,Regular,33280.0,15015.0
62,52,F,Regular,56303.0,25568.0
63,31,M,Bueno,69636.5,48876.0
64,34,M,Regular,69636.5,26204.0
65,53,F,Bueno,88449.0,31748.0
66,67,M,Regular,45765.0,26267.0
67,57,F,Bueno,22340.0,24841.5
68,21,F,Regular,69636.5,32615.0
69,19,M,Malo,113409.0,1104.0
70,23,M,Malo,58057.0,17654.0
71,59,F,Bueno,20597.0,45704.0
72,21,F,Bueno,77988.0,42369.0
73,46,F,Regular,114655.0,3646.0
74,35,F,Regular,35025.0,21471.0
75,43,M,Malo,27145.0,24841.5
76,61,F,Regular,75797.0,21107.0
77,51,F,Bueno,61723.0,47728.0
78,27,F,Bueno,93230.0,14878.0
79,53,M,Bueno,24830.0,9145.0
80,31,M,Bueno,43930.0,23042.0
81,48,F,Bueno,69636.5,18226.0
82,65,M,Malo,96025.0,2802.0
83,32,M,Malo,118228.0,24119.0
84,25,M,Bueno,101304.0,49133.0
85,31,F,Regular,82040.0,27185.0
86,40,F,Bueno,87696.0,6105.0
87,57,M,Malo,84648.0,2749.0
88,38,F,Bueno,75030.0,49742.0
89,33,F,Malo,76815.0,42949.0
90,62,M,Malo,105669.0,34129.0
91,35,M,Bueno,55690.0,24512.0
92,64,F,Bueno,108406.0,36541.0
93,41,M,Regular,110032.0,13495.0
94,43,F,Malo,77923.0,2064.0
95,42,F,Regular,56572.0,30078.0
96,62,M,Bueno,74030.0,30011.0
97,58,F,Malo,87904.0,5616.0
98,46,F,Regular,49203.0,7975.0
99,32,M,Regular,97088.0,10960.0
100,62,M,Regular,25608.0,27992.0
101,18,M,Bueno,69636.5,21387.0
102,42,F,Bueno,75547.0,15324.0
103,24,M,Bueno,42485.0,6243.0
104,26,M,Malo,29862.0,32628.0
105,41,M,Bueno,95948.0,9560.0
106,18,M,Malo,106890.0,47452.0
107,61,F,Regular,91880.0,41098.0
108,25,F,Regular,77560.0,4923.0
109,41,M,Bueno,103529.0,39235.0
110,28,F,Regular,114218.0,21325.0
111,68,M,Bueno,48415.0,27949.0
112,34,M,Malo,84523.0,22821.0
113,25,F,Regular,39323.0,6076.0
114,52,F,Bueno,73214.0,22032.0
115,52,M,Regular,37997.0,8001.0
116,50,M,Regular,77003.0,15303.0
117,22,F,Bueno,23679.0,16457.0
118,59,M,Regular,115025.0,41443.0
119,56,F,Regular,60308.0,12303.0
120,58,M,Regular,69636.5,15128.0
121,45,M,Regular,59842.0,18280.0
122,24,F,Malo,85408.0,39427.0
123,26,F,Regular,89532.0,31644.0
124,25,F,Regular,73938.0,38014.0
125,29,F,Bueno,25695.0,6967.0
126,51,F,Malo,115740.0,6661.0
127,50,F,Bueno,78499.0,12416.0
128,65,F,Bueno,43382.0,510.0
129,40,M,Bueno,34235.0,41382.0
130,41,M,Malo,82223.0,35200.0
131,54,M,Bueno,22366.0,1906.0
132,52,F,Bueno,47467.0,25534.0
133,61,F,Bueno,79316.0,48322.0
134,57,F,Regular,26764.0,16448.0
135,39,M,Bueno,110896.0,37696.0
136,44,F,Malo,81836.0,4710.0
137,52,F,Malo,51923.0,44308.0
138,18,M,Regular,69636.5,38892.0
139,52,F,Malo,36292.0,40605.0
140,54,M,Malo,21614.0,15583.0
141,64,M,Regular,40939.0,17184.0
142,31,F,Bueno,38800.0,24853.0
143,20,F,Regular,76440.0,6109.0
144,18,F,Bueno,43246.0,42677.0
145,22,M,Bueno,72805.0,6659.0
146,43,M,Malo,69648.0,1238.0
147,31,M,Regular,76851.0,15064.0
148,56,F,Malo,51688.0,31115.0
149,44,F,Malo,113498.0,31952.0
150,26,F,Bueno,49764.0,5620.0
151,32,F,Malo,52470.0,34254.0
152,32,M,Regular,58501.0,37449.0
153,43,M,Malo,77207.0,44258.0
154,59,M,Malo,82157.0,4470.0
155,30,M,Bueno,23216.0,22003.0
156,68,F,Regular,42072.0,27571.0
157,49,F,Malo,113778.0,24668.0
158,56,F,Bueno,69636.5,11723.0
159,66,M,Malo,37861.0,46656.0
160,69,M,Regular,84186.0,31040.0
161,49,F,Malo,24960.0,39945.0
162,21,F,Malo,38781.0,45969.0
163,47,M,Bueno,51126.0,32046.0
164,54,F,Malo,42578.0,5441.0
165,40,M,Bueno,37883.0,11719.0
166,56,M,Regular,49782.0,5397.0
167,62,M,Malo,76387.0,34389.0
168,32,F,Regular,36979.0,17945.0
169,60,F,Regular,53746.0,22233.0
170,46,M,Malo,86266.0,24841.5
171,53,F,Bueno,20056.0,4190.0
172,30,M,Regular,51457.0,37822.0
173,49,M,Regular,22243.0,1130.0
174,24,M,Malo,75031.0,14071.0
175,68,M,Malo,21701.0,19981.0
176,39,F,Malo,76381.0,44704.0
177,45,M,Malo,70438.0,2118.0
178,19,M,Malo,93839.0,663.0
179,59,F,Malo,100636.0,15735.0
180,62,M,Bueno,86483.0,24841.5
181,23,M,Regular,40505.0,31087.0
182,45,F,Bueno,26553.0,22578.0
183,45,F,Bueno,53525.0,19874.0
184,61,F,Malo,100402.0,42531.0
185,61,M,Regular,116008.0,17907.0
186,37,F,Bueno,64348.0,40821.0
187,47,F,Malo,91187.0,22787.0
188,28,M,Malo,27273.0,21705.0
189,45,M,Regular,84236.0,24841.5
190,42,M,Bueno,95569.0,46264.0
191,56,M,Bueno,23535.0,39069.0
192,50,M,Bueno,38677.0,44653.0
193,18,F,Malo,103024.0,24841.5
194,44,F,Regular,20908.0,35056.0
195,69,F,Regular,90153.0,26090.0
196,30,M,Bueno,69636.5,24841.5
197,58,M,Malo,108989.0,32252.0
198,20,M,Bueno,55079.0,7796.0
199,56,F,Regular,101556.0,7263.0
200,23,F,Malo,69323.0,12777.0
201,25,M,Bueno,65320.0,41538.0
202,44,F,Bueno,112098.0,20343.0
203,26,M,Malo,109909.0,40153.0
204,54,F,Regular,66105.0,14862.0
205,50,F,Malo,69636.5,41232.0
206,68,F,Bueno,21885.0,37649.0
207,59,M,Bueno,77819.0,48786.0
208,61,F,Bueno,21049.0,15691.0
209,41,F,Bueno,73281.0,25028.0
210,32,M,Regular,63271.0,42135.0
211,49,F,Regular,86697.0,31066.0
212,49,M,Bueno,86351.0,33181.0
213,41,M,Regular,56534.0,17934.0
214,58,M,Regular,113034.0,20910.0
215,69,M,Regular,78097.0,47482.0
216,66,M,Bueno,73813.0,7141.0
217,66,F,Malo,45037.0,45950.0
218,69,M,Malo,56007.0,16225.0
219,29,M,Malo,99478.0,34714.0
220,56,M,Bueno,47278.0,21587.0
221,19,M,Regular,28272.0,32959.0
222,20,F,Regular,77183.0,49192.0
223,66,M,Bueno,119173.0,14175.0
224,54,F,Bueno,58294.0,10051.0
225,66,M,Malo,93277.0,5892.0
226,34,F,Malo,82509.0,3449.0
227,66,M,Bueno,24694.0,41095.0
228,19,M,Malo,115842.0,38677.0
229,19,F,Regular,78150.0,12393.0
230,45,M,Bueno,87470.0,29190.0
231,40,F,Bueno,41556.0,34709.0
232,54,M,Regular,84471.0,31533.0
233,49,F,Regular,69855.0,26141.0
234,50,M,Regular,69086.0,36989.0
235,18,M,Malo,69636.5,23908.0
236,36,F,Bueno,91695.0,39311.0
237,19,M,Malo,68487.0,32322.0
238,61,M,Regular,49158.0,14012.0
239,43,M,Malo,40293.0,34889.0
240,49,M,Regular,65761.0,17412.0
241,23,M,Malo,119468.0,30614.0
242,49,M,Malo,53387.0,44494.0
243,21,F,Regular,60750.0,24657.0
244,28,F,Malo,88602.0,5656.0
245,34,F,Bueno,41256.0,8967.0
246,55,M,Malo,25594.0,19422.0
247,41,F,Malo,22460.0,15764.0
248,22,M,Bueno,92356.0,15873.0
249,69,M,Regular,74698.0,28949.0
250,51,M,Bueno,36191.0,43847.0
251,23,M,Malo,104631.0,2271.0
252,39,F,Regular,30529.0,1607.0
253,28,M,Malo,52175.0,19523.0
254,65,F,Malo,37675.0,48447.0
255,33,M,Bueno,63158.0,49757.0
256,50,F,Bueno,66798.0,27990.0
257,26,F,Regular,90910.0,3665.0
258,23,F,Regular,45976.0,16308.0
259,33,F,Regular,83116.0,5852.0
260,46,F,Malo,98678.0,5462.0
261,20,F,Bueno,82821.0,31795.0
262,37,M,Bueno,32204.0,4270.0
263,53,F,Bueno,75665.0,48465.0
264,36,M,Regular,27394.0,24491.0
265,43,F,Bueno,84814.0,36230.0
266,20,M,Bueno,53593.0,48242.0
267,36,F,Bueno,61964.0,347.0
268,37,F,Regular,97188.0,49152.0
269,49,M,Bueno,119276.0,32830.0
270,24,F,Regular,73365.0,1783.0
271,69,F,Bueno,20443.0,28390.0
272,58,F,Bueno,69636.5,8417.0
273,50,M,Bueno,119058.0,6566.0
274,57,F,Regular,48180.0,17426.0
275,56,M,Regular,68791.0,30750.0
276,35,F,Bueno,106655.0,10872.0
277,57,F,Malo,95899.0,28695.0
278,18,M,Regular,63665.0,48086.0
279,28,F,Regular,117077.0,1234.0
280,45,F,Bueno,23465.0,34752.0
281,42,M,Malo,88247.0,28832.0
282,67,F,Bueno,71559.0,17978.0
283,40,M,Regular,45198.0,22641.0
284,48,M,Regular,74740.0,27127.0
285,47,M,Bueno,42488.0,34720.0
286,59,F,Bueno,58515.0,18079.0
287,52,M,Malo,109144.0,17338.0
288,24,M,Malo,47898.0,3291.0
289,33,F,Regular,21919.0,24841.5
290,43,M,Malo,70070.0,47272.0
291,65,F,Malo,82613.0,44555.0
292,69,F,Regular,116707.0,33736.0
293,66,F,Regular,106135.0,49393.0
294,19,F,Regular,102501.0,28022.0
295,18,M,Regular,67003.0,4234.0
296,65,M,Bueno,68478.0,26720.0
297,29,M,Regular,34434.0,41106.0
298,22,M,Regular,66246.0,40117.0
299,54,M,Regular,56649.0,13368.0
300,49,F,Malo,79030.0,47969.0
301,26,M,Regular,73061.0,48838.0
302,58,M,Bueno,21999.0,8734.0
303,52,M,Bueno,34849.0,41651.0
304,36,F,Regular,96439.0,33793.0
305,65,F,Bueno,72800.0,12197.0
306,33,M,Malo,69636.5,3359.0
307,20,F,Regular,38040.0,38025.0
308,37,M,Bueno,84315.0,35719.0
309,41,M,Bueno,20246.0,7389.0
310,50,F,Regular,69636.5,24841.5
311,41,F,Bueno,25212.0,14952.0
312,69,M,Regular,23339.0,29075.0
313,28,M,Bueno,108678.0,18939.0
314,66,F,Malo,76238.0,46995.0
315,25,M,Bueno,39394.0,15624.0
316,53,F,Bueno,73871.0,1735.0
317,55,M,Regular,97722.0,24315.0
318,57,F,Bueno,54607.0,17422.0
319,37,M,Regular,72055.0,39137.0
320,52,M,Malo,24395.0,7127.0
321,65,F,Regular,35290.0,35680.0
322,42,M,Regular,107687.0,48232.0
323,52,M,Bueno,69636.5,12606.0
324,42,F,Malo,69636.5,32743.0
325,46,M,Regular,27470.0,34010.0
326,35,M,Bueno,23841.0,15636.0
327,63,M,Bueno,83197.0,25348.0
328,35,F,Regular,75773.0,10108.0
329,19,F,Bueno,37776.0,8098.0
330,52,F,Regular,91596.0,36180.0
331,33,M,Regular,47584.0,18883.0
332,58,M,Regular,24300.0,44400.0
333,53,M,Malo,23338.0,45999.0
334,50,M,Regular,82601.0,47951.0
335,21,F,Bueno,25487.0,7160.0
336,50,M,Malo,56282.0,19929.0
337,31,M,Bueno,115065.0,17597.0
338,38,M,Malo,115798.0,11123.0
339,65,F,Malo,96816.0,49570.0
340,37,M,Malo,48804.0,28357.0
341,25,M,Malo,29915.0,4960.0
342,24,M,Bueno,31158.0,33556.0
343,20,M,Regular,94157.0,18255.0
344,34,M,Bueno,30547.0,13350.0
345,50,F,Regular,69636.5,30881.0
346,65,M,Bueno,22459.0,18409.0
347,29,M,Malo,48768.0,32635.0
348,68,M,Malo,83146.0,2446.0
349,39,M,Regular,70870.0,30657.0
350,39,M,Regular,70460.0,21207.0
351,63,M,Bueno,102970.0,48951.0
352,47,M,Regular,80817.0,8752.0
353,55,M,Bueno,58247.0,13440.0
354,55,M,Regular,35419.0,44864.0
355,62,M,Regular,55577.0,49691.0
356,68,F,Regular,22921.0,6499.0
357,25,F,Malo,24676.0,21139.0
358,44,F,Malo,105961.0,14767.0
359,44,F,Bueno,69684.0,22343.0
360,51,M,Regular,33463.0,27712.0
361,38,F,Bueno,45474.0,19673.0
362,47,F,Regular,60935.0,29488.0
363,50,M,Malo,87005.0,26520.0
364,45,F,Malo,78596.0,44105.0
365,64,F,Regular,92828.0,48587.0
366,50,M,Regular,110945.0,24841.5
367,22,M,Malo,109062.0,38079.0
368,65,M,Malo,75152.0,44220.0
369,36,F,Bueno,109001.0,20491.0
370,21,F,Malo,116491.0,47342.0
371,52,M,Regular,112321.0,48720.0
372,66,M,Bueno,106569.0,35268.0
373,34,F,Regular,92467.0,14718.0
374,61,M,Bueno,72576.0,35597.0
375,45,F,Regular,86627.0,24841.5
376,47,M,Malo,45772.0,35132.0
377,46,M,Regular,36363.0,26832.0
378,63,F,Bueno,48490.0,31862.0
379,23,M,Regular,79004.0,12864.0
380,52,M,Bueno,73806.0,22842.0
381,58,M,Regular,20260.0,8177.0
382,54,F,Malo,95992.0,46115.0
383,41,M,Malo,42320.0,40699.0
384,46,M,Regular,98971.0,45609.0
385,66,M,Regular,62145.0,24841.5
386,63,M,Regular,83688.0,8594.0
387,48,M,Bueno,68581.0,13418.0
388,52,M,Regular,112561.0,34854.0
389,50,F,Regular,113645.0,23108.0
390,69,F,Bueno,40754.0,10419.0
391,38,M,Malo,89837.0,22539.0
392,49,F,Regular,27207.0,44370.0
393,40,F,Regular,47920.0,43950.0
394,50,M,Malo,107739.0,12835.0
395,20,F,Malo,107081.0,17533.0
396,35,F,Bueno,44016.0,49214.0
397,42,F,Regular,116634.0,29515.0
398,59,F,Regular,80522.0,35921.0
399,48,F,Bueno,94092.0,41968.0
400,20,F,Malo,74068.0,22322.0
401,57,F,Bueno,40102.0,10223.0
402,63,F,Malo,21924.0,10273.0
403,41,M,Bueno,105015.0,33519.0
404,67,M,Malo,74333.0,24160.0
405,49,F,Bueno,104458.0,8849.0
406,64,F,Malo,104196.0,49852.0
407,39,M,Malo,66099.0,25656.0
408,40,F,Malo,77346.0,48988.0
409,19,F,Malo,95481.0,10348.0
410,44,M,Malo,70062.0,24841.5
411,59,M,Regular,20306.0,38935.0
412,19,M,Malo,108495.0,39132.0
413,43,F,Regular,89767.0,1983.0
414,34,F,Malo,32207.0,24890.0
415,57,M,Regular,59426.0,14629.0
416,50,M,Regular,26336.0,49056.0
417,26,F,Bueno,95166.0,11273.0
418,60,M,Malo,37256.0,31739.0
419,65,F,Bueno,119445.0,40416.0
420,56,F,Bueno,69817.0,7894.0
421,46,M,Malo,53719.0,46073.0
422,59,M,Bueno,62017.0,45693.0
423,43,F,Malo,65704.0,24343.0
424,52,M,Bueno,50013.0,43095.0
425,67,M,Malo,99991.0,31174.0
426,42,M,Malo,90258.0,44179.0
427,41,M,Malo,98348.0,6900.0
428,30,F,Regular,69636.5,48905.0
429,24,F,Bueno,56776.0,3800.0
430,53,F,Regular,30060.0,35246.0
431,62,F,Bueno,98592.0,42735.0
432,37,M,Bueno,26655.0,42926.0
433,18,M,Bueno,108110.0,7054.0
434,25,F,Regular,69923.0,38827.0
435,63,F,Bueno,98563.0,42727.0
436,33,M,Regular,24030.0,44775.0
437,31,F,Malo,109779.0,41201.0
438,29,F,Bueno,53289.0,29373.0
439,68,M,Bueno,69636.5,27525.0
440,40,F,Malo,119704.0,38977.0
441,32,M,Malo,81687.0,7115.0
442,45,M,Bueno,56491.0,31107.0
443,51,F,Malo,115549.0,30486.0
444,19,M,Regular,92115.0,13068.0
445,49,F,Regular,103778.0,18640.0
446,40,M,Bueno,24781.0,32158.0
447,39,F,Regular,40448.0,36136.0
448,68,F,Regular,71550.0,16128.0
449,42,F,Bueno,69294.0,24942.0
450,39,M,Malo,41446.0,2827.0
451,39,M,Bueno,96579.0,15990.0
452,66,F,Regular,105389.0,35255.0
453,69,M,Bueno,105615.0,19987.0
454,59,F,Bueno,37101.0,46115.0
455,23,F,Regular,86178.0,20901.0
456,32,M,Regular,48016.0,16277.0
457,60,F,Bueno,38932.0,1643.0
458,54,M,Regular,64653.0,23729.0
459,50,F,Regular,110481.0,21087.0
460,25,M,Regular,72802.0,21818.0
461,61,F,Regular,27549.0,19.0
462,61,F,Regular,98933.0,33443.0
463,22,M,Regular,45362.0,49760.0
464,56,F,Malo,67842.0,49213.0
465,21,F,Bueno,66539.0,9457.0
466,23,M,Regular,53717.0,33922.0
467,62,F,Bueno,74596.0,9820.0
468,49,M,Malo,43016.0,32750.0
469,69,F,Regular,75200.0,42586.0
470,47,M,Bueno,100268.0,36484.0
471,64,F,Regular,80287.0,38010.0
472,52,F,Regular,112447.0,37790.0
473,57,F,Regular,103402.0,22869.0
474,69,M,Regular,69636.5,34421.0
475,33,M,Regular,47621.0,2502.0
476,30,M,Regular,32823.0,16665.0
477,67,M,Regular,49986.0,25600.0
478,59,F,Malo,84325.0,29394.0
479,47,F,Malo,77771.0,14086.0
480,36,M,Regular,74973.0,36171.0
481,34,M,Regular,34690.0,34003.0
482,36,M,Malo,59107.0,13149.0
483,45,F,Malo,77888.0,30394.0
484,43,M,Malo,30956.0,14396.0
485,54,M,Regular,106839.0,23324.0
486,43,F,Bueno,76227.0,47198.0
487,40,F,Bueno,56533.0,17169.0
488,26,M,Bueno,115210.0,46632.0
489,29,F,Bueno,76234.0,24841.5
490,18,M,Regular,87594.0,44277.0
491,18,F,Bueno,76901.0,26243.0
492,64,M,Malo,31519.0,31016.0
493,51,M,Malo,51115.0,3194.0
494,49,M,Bueno,86266.0,32398.0
495,65,M,Malo,21832.0,24841.5
496,42,F,Regular,61368.0,20159.0
497,57,F,Bueno,108425.0,43406.0
498,62,F,Bueno,89715.0,5350.0
499,18,F,Regular,91835.0,33301.0
500,33,M,Malo,93366.0,24977.0
501,56,M,Regular,57570.0,36431.0
502,22,F,Regular,107977.0,129.0
503,39,F,Malo,26615.0,45331.0
504,46,F,Regular,92298.0,34626.0
505,20,F,Malo,58311.0,48503.0
506,29,F,Malo,110245.0,27549.0
507,43,M,Regular,43434.0,12342.0
508,33,M,Malo,106879.0,36417.0
509,68,M,Regular,35739.0,10978.0
510,54,F,Malo,86202.0,37628.0
511,39,F,Bueno,118580.0,42180.0
512,46,F,Malo,113419.0,8833.0
513,31,F,Malo,99599.0,46903.0
514,45,M,Regular,53649.0,33491.0
515,22,M,Malo,67445.0,29473.0
516,64,F,Bueno,59470.0,737.0
517,66,M,Bueno,94965.0,29429.0
518,47,M,Malo,68621.0,46647.0
519,63,F,Malo,52926.0,1299.0
520,69,F,Bueno,57997.0,339.0
521,22,F,Regular,79940.0,32920.0
522,29,F,Bueno,60724.0,42381.0
523,33,F,Bueno,117805.0,46523.0
524,43,F,Malo,51704.0,48750.0
525,43,M,Malo,48391.0,19435.0
526,65,M,Bueno,83291.0,33194.0
527,38,F,Regular,109723.0,24509.0
528,56,M,Bueno,22526.0,42095.0
529,53,F,Bueno,44686.0,44289.0
530,50,F,Regular,93339.0,1373.0
531,47,F,Bueno,118204.0,7082.0
532,54,F,Bueno,26574.0,25532.0
533,40,M,Malo,28733.0,42661.0
534,27,F,Regular,70290.0,18866.0
535,22,M,Malo,92793.0,7593.0
536,53,F,Malo,56051.0,9495.0
537,51,F,Regular,35909.0,49522.0
538,69,F,Regular,109682.0,7837.0
539,48,M,Bueno,97338.0,11172.0
540,27,F,Malo,93432.0,18680.0
541,36,F,Regular,48133.0,30346.0
542,49,F,Malo,71571.0,43085.0
543,18,M,Malo,99062.0,23412.0
544,22,M,Regular,70908.0,22863.0
545,62,M,Bueno,31278.0,30804.0
546,21,F,Malo,71458.0,10934.0
547,33,M,Regular,84265.0,30723.0
548,41,F,Bueno,76782.0,20405.0
549,33,M,Malo,75415.0,24841.5
550,19,M,Regular,111087.0,5230.0
551,66,F,Malo,74160.0,46413.0
552,45,M,Regular,74399.0,22354.0
553,49,F,Regular,45298.0,8954.0
554,44,F,Malo,42191.0,23139.0
555,37,M,Malo,76964.0,45022.0
556,41,F,Regular,53092.0,17388.0
557,29,F,Bueno,109407.0,39825.0
558,67,M,Malo,95257.0,36523.0
559,52,M,Regular,82513.0,35614.0
560,50,F,Regular,71097.0,35732.0
561,50,M,Bueno,50279.0,41646.0
562,68,F,Bueno,34404.0,21021.0
563,60,F,Bueno,90022.0,27702.0
564,54,M,Malo,55198.0,24841.5
565,29,M,Regular,114223.0,35523.0
566,20,M,Regular,69997.0,19116.0
567,18,M,Regular,98692.0,6473.0
568,50,F,Bueno,20567.0,47322.0
569,57,F,Regular,81032.0,22735.0
570,27,M,Malo,22179.0,34461.0
571,60,M,Bueno,22019.0,11084.0
572,61,F,Bueno,101455.0,44771.0
573,46,F,Bueno,105239.0,24841.5
574,30,F,Bueno,38704.0,17068.0
575,29,F,Malo,38030.0,28916.0
576,48,M,Regular,89445.0,2919.0
577,63,F,Malo,93551.0,23550.0
578,19,F,Regular,23420.0,36524.0
579,68,M,Malo,79875.0,3283.0
580,67,F,Bueno,67653.0,4691.0
581,52,F,Bueno,36740.0,23212.0
582,40,M,Malo,85263.0,40118.0
583,34,M,Malo,115864.0,28602.0
584,43,M,Regular,84559.0,17540.0
585,25,F,Malo,39465.0,35829.0
586,46,F,Malo,71432.0,5919.0
587,43,M,Regular,24131.0,22277.0
588,27,M,Regular,30652.0,17676.0
589,43,F,Regular,84973.0,42844.0
590,51,M,Malo,107043.0,24841.5
591,68,M,Regular,67147.0,16012.0
592,58,M,Bueno,67671.0,9175.0
593,24,F,Bueno,109342.0,40670.0
594,21,F,Bueno,39171.0,2067.0
595,67,F,Malo,106129.0,31478.0
596,62,F,Bueno,75692.0,26439.0
597,28,F,Malo,78541.0,34747.0
598,46,F,Malo,29470.0,29810.0
599,53,M,Bueno,81344.0,18302.0
600,42,F,Regular,64308.0,700.0
601,38,F,Malo,70639.0,36814.0
602,53,M,Bueno,41326.0,34841.0
603,27,F,Malo,24597.0,44713.0
604,54,F,Regular,50788.0,49546.0
605,26,M,Regular,85020.0,3048.0
606,41,M,Bueno,69477.0,33290.0
607,52,M,Malo,53071.0,11101.0
608,66,F,Malo,90603.0,29778.0
609,52,M,Malo,81923.0,24841.5
610,65,F,Malo,90560.0,41509.0
611,53,F,Bueno,93251.0,17852.0
612,35,F,Regular,77492.0,24500.0
613,66,F,Bueno,51770.0,12674.0
614,56,M,Malo,96762.0,23195.0
615,49,M,Malo,55399.0,24371.0
616,41,F,Regular,98948.0,33053.0
617,40,M,Malo,77439.0,11957.0
618,49,F,Bueno,64415.0,7108.0
619,54,F,Bueno,32569.0,47758.0
620,29,F,Regular,22369.0,17829.0
621,66,M,Bueno,117557.0,5837.0
622,30,F,Bueno,20528.0,15032.0
623,40,F,Bueno,50314.0,34234.0
624,42,M,Bueno,38047.0,26352.0
625,52,M,Malo,39748.0,30215.0
626,58,M,Bueno,55109.0,9106.0
627,47,M,Regular,33919.0,41247.0
628,34,F,Regular,67498.0,28766.0
629,66,M,Bueno,75808.0,43048.0
630,37,F,Regular,100792.0,38700.0
631,65,M,Bueno,90441.0,9996.0
632,42,M,Regular,94420.0,1178.0
633,39,M,Regular,48906.0,35319.0
634,30,M,Bueno,91486.0,16025.0
635,36,M,Bueno,86896.0,9780.0
636,66,M,Malo,41946.0,22706.0
637,53,F,Bueno,67020.0,42916.0
638,29,M,Bueno,94266.0,9967.0
639,58,M,Malo,42161.0,30856.0
640,36,M,Bueno,47738.0,24841.5
641,29,M,Bueno,23925.0,9179.0
642,26,F,Malo,28463.0,38623.0
643,24,M,Bueno,77153.0,17587.0
644,45,M,Bueno,102948.0,23733.0
645,31,M,Malo,81009.0,22770.0
646,48,M,Malo,107938.0,33887.0
647,69,F,Regular,119546.0,3975.0
648,36,M,Bueno,111253.0,12919.0
649,64,F,Regular,61552.0,9602.0
650,33,M,Regular,76271.0,45463.0
651,22,F,Malo,29797.0,34060.0
652,52,F,Bueno,106130.0,42154.0
653,29,M,Bueno,91942.0,10140.0
654,42,M,Malo,33965.0,21170.0
655,69,F,Regular,33733.0,28830.0
656,38,F,Malo,73223.0,44540.0
657,53,M,Bueno,46926.0,6590.0
658,40,F,Malo,48783.0,46745.0
659,33,F,Bueno,69636.5,30609.0
660,56,F,Regular,56394.0,17401.0
661,62,M,Bueno,84796.0,27729.0
662,59,F,Regular,48287.0,37944.0
663,56,F,Regular,102104.0,45167.0
664,31,F,Bueno,50436.0,28645.0
665,48,M,Bueno,106916.0,29047.0
