ORIGEN,PRODUCTO,GRADO DE ALCOHOL,REGISTRO SANITARIO,VIGENCIA DE REGISTRO SANITARIO,RESOLUCIÓN DE REGISTRO SANITARIO,PRODUCTOR,NOMBRE EMPRESA DISTRIBUIDORA,NIT
N,Ap. Brissart Sabor A Cafe,10,INVIMA 2019L-0010049,19/06/2029,19022399,LICORES BRISSART S.A.S,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Ap. Crema Con Sabor A Chocolate M Harv,14,INVIMA 2016L-0008145,14/04/2026,16009721,CANDIOTA DE VINOS Y LICORES S.A.,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Ap. Crema Sab Whisky Harvey Mackys 14,14,INVIMA 2017L-0008812,17/07/2027,17025467,CANDIOTA DE VINOS Y LICORES S.A.,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Ap. Crema Sab Whisky Harvey Mackys 14,14,INVIMA 2017L-0008812,17/07/2027,17025467,CANDIOTA DE VINOS Y LICORES S.A.,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Ap. Crema Sab. A Ron Harvey Mackys,14,INVIMA 2014L-0007076,12/05/2024,14009708,CANDIOTA DE VINOS Y LICORES S.A.,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Ap. Crema Sab. A Ron Harvey Mackys,14,INVIMA 2014L-0007076,12/05/2024,14009708,CANDIOTA DE VINOS Y LICORES S.A.,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Ap. Crema Sabor A Whisky Brissart,14,INVIMA 2019L-0009865,8/03/2029,19005235,LICORES BRISSART S.A.S,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Ap. No Vin. Anisado Eduardo Iii,19.5,INVIMA L-002435 R1,27/10/2019,9034809,CASA LA VIÑA LTDA,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Ap. No Vin. Anisado Eduardo Iii,19.5,INVIMA L-002435 R1,27/10/2019,9034809,CASA LA VIÑA LTDA,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Ap. No Vin. Anisado Eduardo Iii,19.5,INVIMA L-002435 R1,27/10/2019,9034809,CASA LA VIÑA LTDA,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Ap. No Vin. Sabor Whisky Wardos,11,INVIMA 2017L-0009117,7/12/2027,17049366,CASA LA VIÑA LTDA,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Ap. Sab. Ron Casa La Viña (2.5),2.5,INVIMA 2011L-0005528,7/10/2021,12019725,CASA LA VIÑA LTDA,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Ap. Sab. Ron Casa La Viña (2.5),2.5,INVIMA 2011L-0005528,7/10/2021,12009734,CASA LA VIÑA LTDA,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Ap. Sabor Cereza Jumbo,6,INVIMA 2017L-0008925,18/09/2027,17035219,CANDIOTA DE VINOS Y LICORES S.A.,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Ap. Sabor Cereza Jumbo,6,INVIMA 2017L-0008925,18/09/2027,17035219,CANDIOTA DE VINOS Y LICORES S.A.,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Beb Emb Sab A Fresa Casa La Viña,2,RSA-003197-2017,10/05/2022,17013295,CASA LA VIÑA LTDA.,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Beb Emb Sab Uva Moscatel Gran Viña 1°,1,RSAD19I39412,7/12/2026,21054707,CASA LA VIÑA LTDA,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Beb Emb Sab Uva Moscatel Gran Viña 1°,1,RSAD19I39412,7/12/2026,21054707,CASA LA VIÑA LTDA,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Beb. Emb Sab A Manzana Casa La Viña,2,RSA-003197-2017,28/02/2022,17013295,CASA LA VIÑA LTDA,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Beb. Emb Sab Uva Moscatel Casa La Viña,2,RSA-003197-2017,28/02/2022,17013295,CASA LA VIÑA LTDA,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Beb. Emb. Gas Champaña Monserrate (2°),2,RSA-001287-2016,13/05/2031,21010841,CANDIOTA DE VINOS Y LICORES S.A.,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Beb. Emb. Sab Champaña Monserrate,2,RSA-001287-2016,13/05/2031,21010841,CANDIOTA DE VINOS Y LICORES S.A.,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Beb. Emb. Sab. A Manzana Candiota,2,RSA-001287-2016,13/05/2031,21010841,CANDIOTA DE VINOS Y LICORES S.A.,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Beb. Emb. Sab. Manzana Casa La Viña 1°,1,RSAD19I39412,28/02/2022,12006563,CASA LA VIÑA LTDA,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Beb. Emb. Sab. Manzana La Gran Viña 1°,1,RSAD19I39412,7/12/2026,12017770,CASA LA VIÑA LTDA,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Beb. Emb. Sab. Moscatel Monserrate,2,RSA-001287-2016,13/05/2031,21010841,CANDIOTA DE VINOS Y LICORES S.A.,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
N,Beb. Emb. Sab. Moscatel Monserrate,2,RSA-001287-2016,13/05/2031,21010841,CANDIOTA DE VINOS Y LICORES S.A.,RODRIGUEZ Q. ALEXANDER/J&M DIST BRISSART,100278640
